Country,Population
Aruba,106766
Afghanistan,38928341
Angola,32866268
Albania,2837743
Andorra,77265
United Arab Emirates,9890400
Argentina,45376763
Armenia,2963234
American Samoa,55197
Antigua and Barbuda,97928
Australia,25687041
Austria,8917205
Azerbaijan,10093121
Burundi,11890781
Belgium,11555997
Benin,12123198
Burkina Faso,20903278
Bangladesh,164689383
Bulgaria,6934015
Bahrain,1701583
Bahamas,393248
Bosnia and Herzegovina,3280815
Belarus,9379952
Belize,397621
Bermuda,63903
Bolivia,11673029
Brazil,212559409
Barbados,287371
Brunei,437483
Bhutan,771612
Botswana,2351625
Central African Republic,4829764
Canada,38005238
Switzerland,8636896
Chile,19116209
China,1410929362
Ivory Coast,26378275
Cameroon,26545864
DR Congo,89561404
Congo,5518092
Colombia,50882884
Comoros,869595
Cabo Verde,555988
Costa Rica,5094114
Cuba,11326616
Curacao,155014
Cayman Islands,65720
Cyprus,1207361
Czechia,10698896
Germany,83240525
Djibouti,988002
Dominica,71991
Denmark,5831404
Dominican Republic,10847904
Algeria,43851043
Ecuador,17643060
Egypt,102334403
Spain,47351567
Estonia,1331057
Ethiopia,114963583
Finland,5530719
Fiji,896444
France,67391582
Faroe Islands,48865
Federated States of Micronesia,115021
Gabon,2225728
United Kingdom,67215293
Georgia,3714000
Ghana,31072945
Gibraltar,33691
Guinea,13132792
Gambia,2416664
Guinea-Bissau,1967998
Equatorial Guinea,1402985
Greece,10715549
Grenada,112519
Greenland,56367
Guatemala,16858333
Guam,168783
Guyana,786559
Hong Kong,7481800
Honduras,9904608
Croatia,4047200
Haiti,11402533
Hungary,9749763
Indonesia,273523621
Isle of Man,85032
India,1380004385
Ireland,4994724
Iran,83992953
Iraq,40222503
Iceland,366425
Israel,9216900
Italy,59554023
Jamaica,2961161
Jordan,10203140
Japan,125836021
Kazakhstan,18754440
Kenya,53771300
Kyrgyzstan,6591600
Cambodia,16718971
Kiribati,119446
Saint Kitts and Nevis,53192
South Korea,51780579
Kuwait,4270563
Laos,7275556
Lebanon,6825442
Liberia,5057677
Libya,6871287
Saint Lucia,183629
Liechtenstein,38137
Sri Lanka,21919000
Lesotho,2142252
Lithuania,2794700
Luxembourg,632275
Latvia,1901548
Macao,649342
Morocco,36910558
Monaco,39244
Moldova,2620495
Madagascar,27691019
Maldives,540542
Mexico,128932753
Marshall Islands,59194
North Macedonia,2072531
Mali,20250834
Malta,525285
Myanmar,54409794
Montenegro,621306
Mongolia,3278292
Northern Mariana Islands,57557
Mozambique,31255435
Mauritania,4649660
Mauritius,1265740
Malawi,19129955
Malaysia,32365998
Namibia,2540916
New Caledonia,271960
Niger,24206636
Nigeria,206139587
Nicaragua,6624554
Netherlands,17441139
Norway,5379475
Nepal,29136808
Nauru,10834
New Zealand,5084300
Oman,5106622
Pakistan,220892331
Panama,4314768
Peru,32971846
Philippines,109581085
Palau,18092
Papua New Guinea,8947027
Poland,37950802
Puerto Rico,3194034
Democratic Peoples Republic of Korea,25778815
Portugal,10305564
Paraguay,7132530
Palestine,4803269
French Polynesia,280904
Qatar,2881060
Romania,19286123
Russian Federation,144104080
Rwanda,12952209
Saudi Arabia,34813867
Sudan,43849269
Senegal,16743930
Singapore,5685807
Solomon Islands,686878
Sierra Leone,7976985
El Salvador,6486201
San Marino,33938
Somalia,15893219
Serbia,6908224
South Sudan,11193729
Sao Tome and Principe,219161
Suriname,586634
Slovakia,5458827
Slovenia,2100126
Sweden,10353442
Eswatini,1160164
Seychelles,98462
Syrian Arab Republic,17500657
Turks and Caicos Islands,38718
Chad,16425859
Togo,8278737
Thailand,69799978
Tajikistan,9537642
Turkmenistan,6031187
Timor-Leste,1318442
Tonga,105697
Trinidad and Tobago,1399491
Tunisia,11818618
Turkey,84339067
Tuvalu,11792
Tanzania,59734213
Uganda,45741000
Ukraine,44134693
Uruguay,3473727
United States,329484123
Uzbekistan,34232050
Saint Vincent and the Grenadines,110947
Venezuela,28435943
British Virgin Islands,30237
United States Virgin Islands,106290
Vietnam,97338583
Vanuatu,307150
Samoa,198410
Kosovo,1775378
Yemen,29825968
South Africa,59308690
Zambia,18383956
Zimbabwe,14862927
